Name,Year,Paper title,Total Parameters in Model,Data sets,Implementation,Results table,Benchmark dataset(Common applied benchmark),Benchmark leaderboard,Illustration of the model,Note
BERT,2020,Passage Re-ranking with BERT,109482240⇒109M(Finetuned Bert-Base),MS MARCO and TREC-CAR,https://github.com/nyu-dl/dl4marco-bert,https://www.notion.so/cc3a362e125748c5a12a4272c2b99e04,https://microsoft.github.io/msmarco/https://trec-car.cs.unh.edu/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,,
MarkedBERT,2020,MarkedBERT: Integrating Traditional IR Cues in Pre-trained Language Models for Passage Retrieval,109482240⇒109M(Finetuned Bert-Base),"MS MARCO ",https://github.com/BOUALILILila/markers_bert,https://www.notion.so/4dca0af6d3724a778e000ccfad25b138,https://microsoft.github.io/msmarco/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,https://www.notion.so/bcfc19df9cc3412183463860682e773c,
TK(Transformer Kernel),2020,https://www.semanticscholar.org/paper/Interpretable-%26-Time-Budget-Constrained-for-Hofst%C3%A4tter-Zlabinger/6dbdc34000b034b75b8ff70872fc7c35549e273a,,MS MARCO and TREC-CAR,https://github.com/sebastian-hofstaetter/matchmaker,,,,,
Doc2Query,2019,https://arxiv.org/abs/1904.08375.pdf,,MS MARCO and TREC-CAR,https://github.com/nyu-dl/dl4ir-doc2query,https://www.notion.so/a4977b03c19c439f8a47dac6e21d7f09,https://microsoft.github.io/msmarco/https://trec-car.cs.unh.edu/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,https://www.notion.so/edf6039bd14743719b92b1c6db9e7175,"The idea behind doc2query, a form of document expansion, is to train a model, that when given
an input document, generates questions that the document might answer. These predicted questions
are then appended to the original documents, which are then indexed as before."
DocTTTTTQuery/T5,2019,https://cs.uwaterloo.ca/~jimmylin/publications/Nogueira_Lin_2019_docTTTTTquery-v2.pdf,,"MS MARCO ",https://github.com/castorini/docTTTTTquery,,https://microsoft.github.io/msmarco/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,,"docTTTTTquery is much more effective than doc2query and (almost) as effective as the best non-BERT ranking model, while increasing query latency (time to retrieve 1000 docs per query) only slightly compared to vanilla BM25"
UED,,,,,,,,,,
DeepCT,2019b,https://arxiv.org/abs/1910.10687,,MS MARCO and TREC-CAR,https://github.com/AdeDZY/DeepCT,"https://www.notion.so/98909d9feaca47da842f648de46d6445, https://www.notion.so/86300495bc3a4b83a324349b80bb9cf5, https://www.notion.so/7af47c7f6bf740b5a0f2ba04d1e3b083, https://www.notion.so/0b89d0162d9148c9ba9a001316543093, https://www.notion.so/54d4b2b87708462bbb772b9aa353b971",https://microsoft.github.io/msmarco/https://trec-car.cs.unh.edu/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,,"Term Reweighting method;Proposed a method to weight terms by their roles in a specific
text context"
HDCT,2020,http://www.cs.cmu.edu/~zhuyund/papers/TheWebConf_2020_Dai.pdf,,"ClueWeb09-C;ClueWeb12-C;MS MARCO ",https://github.com/AdeDZY/DeepCT,"https://www.notion.so/d881b8fa3dd94fdeaa3f4948d673afd4, https://www.notion.so/0e38e399f31d45eb8bed2b34ffca2e8f, https://www.notion.so/29387abd99b84e8fa19cb7ac918ace40",https://microsoft.github.io/msmarco/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,https://www.notion.so/f63de6b1507e4a2da90ceb9e41440cbd,Extends DeepCT to support long documents and weakly supervised training. This paper also proposes two approaches that enable training HDCT without relevance labels. Experiments show that an index using HDCT weights significantly improved the retrieval accuracy compared to typical term-frequency and state-of-the-art embedding-based indexes
ANCE,2020b,https://arxiv.org/abs/2007.00808.pdf,,TREC DL; MS MARCO,https://github.com/microsoft/ANCE,"https://www.notion.so/b080dd07930c464b8e3b01401f7ff768, https://www.notion.so/e63be22570ce48ea853e6e1d6afb2536",TREC DL; MS MARCO,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/;,,"This paper presents Approximate nearest neighbor Negative Contrastive Estimation (ANCE), a training mechanism that constructs negatives from an Approximate Nearest Neighbor (ANN) index of the corpus, which is parallelly updated with the learning process to select more realistic negative training instances. This fundamentally resolves the discrepancy between the data distribution used in the training and testing of DR. In the experiments, ANCE boosts the BERT-Siamese DR model to outperform all competitive dense and sparse retrieval baselines. It nearly matches the accuracy of sparse-retrieval-and-BERT-reranking using dot-product in the ANCE-learned representation space and provides almost 100x speed-up."
PROP,2020,https://arxiv.org/abs/2010.10137,,Pre-training Corpus: MS MARCO ;English Wikipedia Downstream Dataset: Robust04;ClueWeb09-B;Gov2;Million Query Track 2007 (MQ2007);Million Query Track 2008 (MQ2008),https://github.com/Albert-Ma/PROP,"https://www.notion.so/3cffef4daca548c7b5cdd266471fa3eb, https://www.notion.so/3e312b86e6734c03b51edeeea5617ecc, https://www.notion.so/5a731dcc95894c72b6dc36c1fc0928e7",http://www.bigdatalab.ac.cn/benchmark/bm/dd?data=Robust04-Title  https://lemurproject.org/clueweb09/https://lemurproject.org/clueweb09/ https://microsoft.github.io/msmarco/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,,"PROP is inspired by the classical statistical language model for IR, specifically the query likelihood model, which assumes that the query is generated as the piece of text representative of the “ideal” document. Based on this idea,  the authors construct the representative words prediction (ROP) task for pre-training"
COIL,,,,,,,,,,
monoBERT+duoBERT,2019,https://arxiv.org/abs/1910.14424,,Target Corpus Pre-training (TCP)  ;MS MARCO; TREC CAR,"https://github.com/castorini/duobert, https://github.com/nyu-dl/dl4marco-bert",https://www.notion.so/8c1c5772556a4c56973f1f1a2e18475d,https://microsoft.github.io/msmarco/https://trec-car.cs.unh.edu/,https://microsoft.github.io/msmarco/https://microsoft.github.io/msmarco/,https://www.notion.so/36869b52a9154037a54aeb41755b8dfa,
SEED-Encoder,2021b,https://arxiv.org/abs/2102.09206,,,,,,,,
